challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
furnish,"vt. 供给, 提供, 装设
[化] 供应; 供给; 配料"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
qualification,"n. 资格, 条件, 限制
[计] 限定"
worthy,"suf. [构成形容词]表示：“值得…的”,“该…的”：praiseworthy,“适于…的”,“易于…的”：roadworthy"
appearance,n. 外貌，外观；出现，露面
aspect,"n. 外观, 方面, 面貌, 方向
[医] 方面, 局面; 外观"
liquid,"n. 液体, 流体, 流音
a. 液体的, 透明的, 明亮的, 流动的, 易变的"
sword,[网络] 英语常用同义词辨析；熟人就出声
lad,[=liver alcohol dehydrogenase]肝脏乙醇脱氢酶
apply,"vt. 涂, 应用
vi. 申请, 适用"
exterior,"n. 外部, 表面, 外貌
a. 外部的, 外在的, 表面的"
preference,"n. 偏爱, 优先, 喜爱物
[计] 首选项"
elbow,"n. 手肘, 弯头, 扶手
v. 用手肘推开, 推挤"
discipline,"n. 训练, 纪律
vt. 训练, 惩罚"
terrific,"a. 非常好的, 极端的, 可怕的"
thrill,"n. 震颤, 激动, 刺激性, 一阵激动
vi. 震颤, 颤抖, 激动
vt. 使激动, 使颤动"
flu,"n. 流感；流行性感冒
[网络] 流行感冒；流感病毒；流行性感冒菌"
allegiance,"n. 忠贞, 效忠"
edition,"n. 版本, 版, 翻版"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
hostage,"n. 人质, 抵押品
[经] 人质, 抵押品"
loaf,"n. 一条面包, 块, 游荡
v. 游手好闲, 虚度光阴"
applicable,"a. 合适的, 可应用的
[法] 适用的, 适应的"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
diploma,"n. 文凭, 毕业证书
[医] 文凭"
dragon,"n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
n. (Dragon)人名；(匈)德劳贡；(英、法、芬、罗、匈)德拉贡"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
[计] 反差; 对比度"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
[计] 趋势"
honorable,"a. 值得尊敬的, 荣耀的, 高贵的"
honourable,"a. 值得尊敬的, 荣耀的, 高贵的
[法] 荣誉的, 正直的, 体面的"
freelance,"自由骑士, 自由作家"
appendix,"n. 附录, 附加物, 阑尾
[化] 增补"
objection,"n. 异议, 反对, 不喜欢, 缺点, 缺陷, 妨碍, 拒绝之理由
[法] 异议, 反对, 抗议"
inflation,"n. 胀大, 夸张, 通货膨胀
[化] 充气吹胀; 膨胀"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
hasty,"a. 匆匆的, 轻率的, 性怠的"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
fraction,"n. 小部分, 破片, 分数
[医] 部分, 成分, 分散"
romance,"n. 冒险故事, 浪漫史, 传奇文学
vi. 写传奇, 作空想, 虚构"
rectangle,"n. 长方形, 矩形
[化] 矩形"
owl,[网络] 普通水位；普通巫术等级
denote,"vt. 指示, 表示"
editor,"n. 编者, 编辑, 主笔, 编辑器, 编辑装置
[计] 编辑器"
fruitful,"a. 结果实的, 多实的, 产量多的"
startle,"n. 惊愕, 惊恐
vt. 吃惊, 使惊愕
vi. 惊起"
inlet,"n. 进口, 插入物
[化] 入口; 进口; 投料口; 供料口"
system,[网络] 系统；系统层
concede,"vt. 承认, 退让
vi. 让步"
jewelry,"n. 珠宝, 珠宝类"
jewellery,"n. 宝石, 贵重饰物, 珠宝, 宝石饰物, 受珍视的人/物, 宝贝, 有价值的人/物"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
lame,[网络] 心灵
exhaust,"n. 排气, 排气装置, 废气
vt. 抽完, 用尽, 耗尽, 使精疲力尽
vi. 排气"
stiff,"a. 坚硬的, 严厉的, 呆板的, 生硬的, 刚强的, 强烈的, 粘的, 稠的, 艰难的
n. 死尸, 醉鬼, 钞票
vt. 不肯付...小费"
pinch,"n. 捏, 拧, 撮, 少量, 收缩, 挤压, 夹痛, 苦恼, 逮捕, 指控, 匮乏, 紧急关头
vt. 捏, 拧, 掐, 挤压, 修剪, 使困苦, 使萎缩, 节制, 少量加入, 逮捕, 勒索
vi. 收缩, 节省, 挤压, 引起苦恼"
pants,[网络] -裤子
remnant,"n. 剩余, 零料, 遗迹
a. 剩余的, 残余的"
