now that,"既然..., 由于..."
presently,"adv. 目前, 不久"
prior,"a. 更重要的, 较早的, 在先的
n. 小隐修院院长, 大隐修院副院长"
emotionally,adv. 在情绪上
emotional,"a. 情绪的, 情感的
[医] 情绪的"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
[计] 崩溃"
in the form of,以…形式
visa,"n. 签证
vt. 签发签证
n. (Visa)人名；(塞、芬)维萨"
fill out,"填写, 使长大, 变大, 使长胖, 使完备"
paperwork,日常文书工作
book,[计] Adobe FrameMaker Book文件
in total,"总共, 总计
[经] 合计, 全部"
make friends, 交朋友
make friends with sb.,"(和某人)交友, 建立友谊"
meet up, 偶然地碰到
sightseeing,"n. 观光, 游览
a. 观光的, 游览的"
excursion,"n. 远足, 游览圆, 短程旅行
[医] 移动, 离轨, 逸出"
lingo,"n. 外国话, 隐语
[经] 行话, 航业暗语"
for once,就这一次
awkward,"a. 笨拙的, 棘手的"
stress out,[网络] 压力过大；经历极大压力；压力大
employment,"n. 雇用, 职业, 工作
[经] 职业, 雇用, 职工招请"
alongside,"adv. 在旁边
prep. 在……旁边"
trade,"n. 贸易, 商业, 交易, 生意, 职业, 顾客, 信风
vi. 进行交易, 做买卖, 经商, 对换, 购物
vt. 用...进行交换"
suck,"vt. 吸, 吮, 吸入, 吮吸, 吸收
vi. 吸, 吸奶
n. 吸, 吸入, 吮吸"
clue,"n. 线索, 暗示
vt. 暗示, 提供线索"
save up,"储蓄, 贮存"
hostel,"n. 青年招待所, 宿舍, 旅店"
capture,[网络] 利益集团捕获
zone,"n. 地带, 带, 地区
vt. 环绕, 使分成地带
vi. 分成区
[计] 卡片顶部的三行区; 区; 区域"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
solo,"n. 独奏, 独唱, 单独表演
a. 单独的, 独奏的, 独唱的
vi. 放单飞"
wanderlust,"n. 漫游癖, 流浪癖"
run through,"跑着穿过, 刺, 戳, 排练, 挥霍, 贯穿"
expat,"vt. 逐出国外（等于expatriate）
vi. 移居国外（等于expatriate）
n. 亡命国外者（等于expatriate）"
by one's side,"un. 站在…一边；周围
[网络] 在身旁；在某人身边；在…身边"
but then,但另一方面
nest,[网络] 巢
settle down,"使舒服地坐下, 定居, 平静下来, 专心于"
browse,"v. 浏览, 吃草
n. 浏览, 吃草
[计] 浏览"
craft,na. 术；行业
blog,n. 博客；部落格；网络日志
be obsessed,[网络] 着魔；鬼迷心窍；分数
version,"n. 一种描述, 版本, 译文
[计] 版本"
cable,"n. 电缆, 海底电报, 缆, 索
vi. 打海底电报
vt. 发海底电报, 缚住
[计] 电缆"
kind of," <口>稍微, 有点儿, 有几分"
follow one's heart,"做自己想做的事情
跟着感觉走"
the other way around,从相反方向
homesickness,[医] 怀乡病
feel at home,感到自在
parliament,"n. 国会, 议会
[法] 会议, 国会, 议院"
a couple of,"一对..., 三两个..."
bad-tempered,"adj. 暴躁的
[网络] 坏脾气的；脾气坏的"
be fond of,"喜爱, 爱好"
become fond of,无
ski,[网络] -滑雪
resort,vt. 使再分类
lifty,无
beat doing sth.,无
sleepy,"a. 困乏的, 欲睡的"
dot,[计] Microsoft Word文档模板
sneaky,"a. 鬼祟的, 卑微的"
rotate,"a. 辐状的
vt. 使旋转, 使转动, 使轮流
vi. 旋转, 循环
[计] 旋转"
occupation,"n. 职业, 占有, 占有期, 占领, 占领军
[经] 占有, 占用, 职业"
revolve around," 旋转, 绕转; 环绕"
labour,"n. 劳动力，人工；分娩
vi. 劳动；分娩；费力地前进"
outdoors,"adv. 在户外
n. 户外
adj. 户外的（等于outdoor）"
monger,"comb. 表示""商人""
"
