surfeit,"n. 过食, 过度, 恶心
vt. 使厌腻, 使沉溺于
vi. 饮食过度"
expurgate,"vt. 删除, 修订, 使纯洁"
yen,"n. 日元(日本货币单位), 渴望, 嗜好
vi. 渴望"
flinch,"vi. 畏缩, 退缩, 畏首畏尾
n. 退缩, 弗林奇戏"
grandiloquent,"a. 大言不惭的, 夸张的, 夸大的"
gingerly,"adv. 小心翼翼地, 慎重地
a. 慎重的, 谨慎的"
invincible,"a. 不能征服的, 无敌的"
antiquated,"a. 陈旧的, 过时的, 年老的"
buxom,"a. (妇女)丰满的, 健美的"
impale,"vt. 刺穿, 使绝望, 钉住"
subdued,"a. 屈服的, 被抑制的, 减弱的, 柔和的"
mendicant,"a. 行乞的, 托钵修道会的, 化缘的
n. 乞丐, 乞讨, 托钵僧"
deft,"a. 敏捷熟练的, 灵巧的"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
aureole,"n. 光轮, 光环"
pummel,"vt. 击, 打, 揍"
divergent,"a. 有分歧的
[医] 散开的, 偏斜的"
fitful,"a. 断断续续的, 一阵阵的, 间歇的"
hiatus,"n. 裂缝, 中断, 空隙, 间隙, 裂孔, (稿件)脱字, 漏句
pl. 裂缝, 中断, 空隙, 间隙, 裂孔, (稿件)脱字, 漏句"
stint,"vt. 节省, 限制, 停止
vi. 节约
n. 吝惜, 节约, 限额"
catechism,"n. (基督教的)教理问答, 一套问答"
infuriate,"a. 狂怒的
vt. 激怒"
molecule,"n. 分子, 些微
[化] 分子"
reverent,"a. 尊敬的, 虔诚的"
conspicuous,"a. 显著的, 显眼的, 出众的"
discomposure,"n. 心乱, 不安, 狼狈"
truism,"n. 自明之理, 众所周知, 老生常谈
[法] 老生常谈, 陈词滥调"
annals,"n. 编年史, 活动年报, 历史"
dissemble,"v. 掩饰, 假装不知道"
uncouth,"a. 笨拙的, 粗野的, 荒凉的"
infidel,"a. 不信神的, 无信仰的, 异端的
n. 无信仰者, 异教徒, 异端"
concession,"n. 特许, 让步, 认可
[经] 核准, 许可, 特殊(权)"
esoteric,"a. 秘教的, 奥秘的, 秘传的
[医] 体内的, 内部的, 隐的"
bestow,"vt. 授予, 使用, 贮藏, 留宿"
antidote,"n. 解毒剂, 解毒药
[化] 解毒药"
seethe,"vi. 冒泡, 沸腾
vt. 使煮沸, 使浸透
n. 翻腾"
unique,"a. 独一无二的, 独特的, 稀罕的"
conundrum,"n. 谜语, 难题"
receptive,"a. 能接纳的
[医] 接受的, 感受的"
imperious,"a. 专横的, 傲慢的, 迫切的
[医] 强制的, 不随意的"
intimidate,"vt. 威胁, 恐吓
[法] 恐吓, 威胁, 使恐惧"
retrograde,"a. 后退的, 倒退的, 退步的
vi. 倒退, 退步, 回顾"
meticulous,"a. 一丝不苟的, 精确的, 过细的"
masochist,"n. 被虐待狂, 受虐待者
[医] 受虐狂者"
toxic,"a. 有毒的, 中毒的
[医] 中毒的, 毒物的"
injurious,"a. 有害的, 不公正的
[法] 伤害的, 有害的, 不公平的"
riddle,"n. 谜, 谜语, 粗筛
vt. 解谜, 给...出谜, 筛, 寻根究底地检验, 充满于
vi. 出谜"
aseptic,"n. 防腐剂
a. 无菌的"
nettle,"n. 荨麻
vt. 以荨麻刺, 激怒"
jurisprudence,"n. 法律学, 法律体系
[医] 法学, 法律学"
raconteur,"n. 说书者, 擅长讲故事的人, 健谈者"
stodgy,"a. 易吃饱的, 塞满的, 平凡的, 庸俗的, 步履艰难的"
dilatory,"a. 拖拉的
[法] 延期的, 拖延的, 慢的"
quip,"n. 妙语, 遁辞, 讽刺
v. 说讽刺话, 嘲弄"
acerbity,"n. 涩, 酸, 尖刻
[化] 涩度"
gargantuan,"a. 巨大的, 庞大的"
diaphanous,"a. 透明的, 轻柔的"
condone,"vt. 赦, 宽恕
[法] 宽恕, 不咎, 抵销"
rebuttal,"n. 辩驳, 驳回, 反驳, 反驳的证据, 反证
[法] 辩驳, 反驳, 驳回"
propulsive,"a. 推进的, 有推进力的
[机] 有推进力的, 推进的"
irreproachable,"a. 不可非难的, 无缺点的, 无过失的"
dissipate,"vt. 散失, 驱散, 浪费
vi. 消散, 放荡"
economy,[网络] 经济；电子经济
browbeat,v. 吓唬
list,"n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单
vt. 列出, 列于表上, 记入名单内, 装布条
vi. 列于表上
[计] 列表, 序列, 数据清单"
escapism,"n. 逃避现实, 逃避主义"
coterie,"n. 同人, 圈内人, 小集团"
agenda,"pl. 议程, 日常工作事项
[计] 待议事件"
indelible,"a. 难以消除的, 不能拭除的, 难忘的"
cadaver,"n. 死尸, 尸体
[医] 尸体"
inured,"a. 习惯的, 坚强的"
impart,"vt. 给予, 传授, 告知"
insubordination,"n. 不顺从, 反抗"
repeal,"n. 废止, 撤消
vt. 废止, 撤消, 放弃"
virus,"n. 病毒, 滤过性病毒, 毒害
[化] 病毒"
spate,"n. 泛滥, 洪水, 大雨, 大量, 一阵"
tangential,"a. 切线的, 相切的, 正切的, 离题的, 扯远的
[医] 正切的, 切线的"
halting,"a. 跛的, 蹒跚的, 犹豫的"
gawk,"n. 笨人, 呆子, 笨拙的人
vi. 痴呆着看"
panacea,"n. 万能药, 灵丹妙药
[医] 万应药"
tout,"vi. 招徕顾客, 兜售物品
vt. 招徕, 刺探...情报
n. 兜售者, 侦查者"
asteroid,"n. 小行星, 海盘车
a. 星状的"
nonchalance,n. 冷淡；漠不关心；冷静
salvo,"n. 保留条款, 遁辞, 保护手段, 齐射, 齐鸣
[法] 保留条款, 但书, 托辞"
turgid,"a. 肿的, 浮夸的
[医] 充满的, 胀满的"
bode,"v. 预示
bide的过去式"
treacly,"a. 如糖蜜的, 糖蜜一般甜而粘的, 甜蜜的"
inter,"vt. 埋葬
prep. 在中间"
elusive,"a. 难懂的, 易忘的, 难以捉摸的"
stellar,"a. 星的, 似星的, 星球的, 主要的"
correlation,"n. 相互关系, 相关, 关联
[医] 相关, 联系"
remunerative,"a. 有报酬的, 有利可图的, 合算的"
statute,"n. 法令, 成文法律, 法规, 章程, 条例
[法] 法令, 法规, 成文法"
persona,"n. 人, 人物, 角色, 外表印象, 人格面具
[医] 伪装人格"
convention,"n. 大会, 协定, 惯例, 约定
[计] 约定"
nullify,"vt. 使无效, 废弃, 取消
[化] 使等于零; 作废"
remedial,"a. 治疗的, 补救的, 矫正的
[医] 治疗的"
bemoan,"vt. 哀悼, 惋惜, 认为遗憾, 哀叹"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
rectify,"vt. 订正, 矫正, 改正, 调正, 校正, 精馏, 整流
[化] 精馏"
deciduous,"a. 每年落叶的, 非永久性的
[医] 脱落的"
fabricate,"vt. 制造, 建造, 装配, 伪造"
ordinance,"n. 法令, 条例, 圣餐礼
[经] 法令, 条款, 条例"
rotundity,"n. 圆形, 圆形物, 圆润"
incorrigible,"a. 无药可救的, 积习难改的
n. 不可救药的人"
stigmatize,"vt. 打烙印, 诬蔑"
traverse,"n. 越过, 横贯, 横断物, 屏障, 否认, 反驳
vt. 横过, 穿过, 经过, 详细研究, 反对, 在...来回移动
vi. 横越, 横断, 旋转, 来回移动
a. 横亘的, 横贯的"
supercilious,"a. 傲慢的, 自大的, 目空一切的"
dwindle,"vi. 减少, 缩小, 衰落
vt. 使缩小"
mediocre,"a. 不好不坏的, 通常, 平凡的"
papyrus,"n. 纸草, 草制成之纸"
elicit,"vt. 引出, 推导出, 引起"
carat,"n. 克拉
[化] 开; 克拉(宝石、金刚石重量单位,等于0.2克)"
balmy,"a. 芳香的, 温和的, 止痛的
[化] 香脂气味的"
xenophobia,"n. 无端畏惧和憎恨外国人/陌生人, 对外国人的畏惧和憎恨
[医] 生客恐怖"
wax,"n. 蜡, 蜡状物, 一阵发怒, 增加, (月亮)渐盈
vi. 变大, 增大, 月亮渐满
vt. 上蜡于"
necromancy,n. 巫术
canto,"n. 长诗的篇章, 曲调"
emulate,"vt. 效法, 尽力赶上, 同...竞争
[计] 仿真"
slothful,"a. 怠惰的, 懒惰的"
construe,"vt. 解释, 分析, 对...逐字直译
vi. 作句法分析
n. 直译"
harbor,"n. 港, 避难所
v. 庇护, 藏匿, (使)入港停泊"
disband,"vt. 解散, 遣散
vi. 被解散"
equable,"a. 平静的, 变动小的"
consecrate,"vt. 把...供祭祀用, 奉献, 使神圣
a. 被献给神的, 神圣的"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
garish,"a. 穿着花哨的, 炫耀的, 过分装饰的"
relevant,"a. 有关联的, 有关系的, 适当的, 相应的
[法] 有关的, 相关的"
satellite,"n. 人造卫星
[医] 伴行静脉, 陪静脉, 陪病部, 随体, 卫星"
invocation,"n. 祈祷, 符咒"
condiment,"n. 辛辣调味品
[化] 调味品"
plumage,n. 鸟类羽毛
ulterior,"a. 隐秘不明的, 在特定界限以外的, 将来的, 隐蔽的
[法] 进一步的, 日后的, 将来的"
translucent,"a. 半透明的, 透明的"
alias,"n. 别名, 化名
adv. 以化名为人所知
[计] 别名; 替换入口"
tempo,"n. 速度, 节奏, 进行速度, (棋的)一着"
protean,"a. 千变万化的, 变化不定的, (海神)普罗透斯的
[化] ┚(音田)"
gusto,"n. 爱好, 嗜好, 由衷的高兴"
retrench,"vt. 删除；减少；紧缩开支
vi. 节省；紧缩"
erotic,"a. 性爱的, 性欲的, 色情的
n. 好色之徒, 色情诗"
grouse,"n. 松鸡, 牢骚
vi. 埋怨"
ossify,"vt. 使骨化, 使硬化, 使僵化
vi. 骨化, 硬化, 变得极端保守"
provincial,"n. 外地人, 粗野的人
a. 省的, 外地的, 偏狭的"
wily,"a. 使用计谋的, 有诡计的, 狡猾的"
contention,"n. 争论, 争辩, 所持的论点
[计] 争用"
incisive,"a. 敏锐的, 机敏的, 激烈的, 切入的, 锋利的
[医] 切牙的, 切的"
ramp,[=rifampin]利福平
