enable,"vt. 使能够
[计] 允许, 使能, 打开"
encourage,"vt. 鼓励, 支持, 激励
[法] 怂恿, 煽动, 助长"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
[法] 给...权利, 使有资格, 称呼"
disable,"vt. 使失去能力, 使残废, (律)使无资格
[计] 使无效, 禁止, 关闭"
lame,[网络] 心灵
blame,"n. 过失, 责备
vt. 责备, 归咎于"
action,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼
vt. 对...起诉
[计] 方式"
active,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的
n. 主动语态, 积极分子"
activate,"vt. 使活动, 使激活, 正式建成
vi. 有活力"
activity,"n. 活动, 行动, 活跃, 活力
[计] 活动"
actual,"a. 真实的, 实际的, 现行的
[医] 实际死亡率"
react,"vt. 重做, 重演"
reaction,"n. 反应, 反作用, 反动
[医] 反应"
exact,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
transaction,"n. 交易, 办理, 学报, 和解协议
[计] 事务处理"
agent,[网络] 代理；智能体；软件代理
agency,"n. 代理机构, 经销商, 中介
[化] 办事处"
agenda,"pl. 议程, 日常工作事项
[计] 待议事件"
acute,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的
[医] 急性的; 尖锐的"
massacre,"n. 大屠杀
vt. 大屠杀, 残杀"
assassinate,"vt. 暗杀, 行刺
[法] 暗杀, 行刺, 中伤"
alter,v. 改变
alternate,"a. 交替的, 轮流的, 间隔的
v. 轮流, (使)交替"
alternative,"n. 两者择一, 供替代的选择
a. 两者择一的, 供选择的
[计] 选择对象"
auction,"n. 拍卖
vt. 拍卖"
augment,"v. 增加, 增长
[计] 增加; 增量; 添加"
ample,"a. 大量的, 充足的, 丰富的"
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
audio,"a. 音频的, 声音的
[电] 声频"
audience,"n. 听众, 观众, 读者
[法] 听讼, 观众, 听众"
audit,"n. 审计, 查帐
vt. 查(帐), 旁听
vi. 查账
[计] 查帐; 审查; 检查"
aural,"a. 耳的, 听觉的, 气氛的, 气味的, 光环的
[医] 耳的; 先兆的"
oral,"n. 口试
a. 口头的, 口述的, 口部的"
author,"n. 作家, 作家的著作, 创始人
[法] 作者, 著作人, 本人"
authority,"n. 权力, 当权者, 当局, 权威, 专家
[经] 代理权, 授权, 权威"
authorize,"vt. 授权, 批准, 委托
[经] 授权, 委任, 认可"
authentic,"a. 可靠的, 可信的, 真正的
[法] 被认证的, 确认的, 可信的"
abolish,"vt. 废止, 革除, 消灭
[经] 废除, 取消, 裁撤"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
academy,"n. 学院, 院校, 学会"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
accelerate,"v. 加速, 促进"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
accumulate,"v. 积聚, 堆积"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
[经] 承认, 答谢, 收到的通知"
acquaintance,"n. 认识, 相识者"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
advisable,"a. 适当的, 明智的"
agony,"n. 极大的痛苦, 挣扎
[医] 濒死苦闷; 剧痛"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
[计] 报警信号"
alert,"a. 警觉的, 灵敏的, 留心的
n. 警报
vt. 使警觉, 通知, 使意识到"
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的"
amount,"n. 总数, 总额
vi. 总计, 等同"
anguish,"n. 剧痛, 痛苦
vt. 使极痛苦
vi. 感到痛苦"
annoy,"vt. 使恼怒, 骚扰"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
anxious,"a. 忧虑的, 发愁的, 渴望的"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
[医] 焦虑"
apparent,"a. 清晰可见的, 显然的, 表面上的
[电] 外在的"
appoint,"vt. 任命, 指定, 下令
[法] 派, 派任, 任命"
appointment,"n. 约会, 委任的职位, 委派
[经] 任命, 派, 指定"
disappoint,vt. 使失望
