abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
exceptional,"a. 例外的, 异常的, 特别的"
extraordinary,"a. 非常的, 特别的, 非凡的
[经] 非常的, 特别的, 临时的"
singular,"n. 单数
a. 异常的, 单一的"
absent,"adj. 没有；无；离开；缺勤的
v. 使缺席
[网络] 不在离席"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
[计] 摘录; 摘要; 抽象"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
abundance,"n. 丰富, 充足, 大量
[经] 丰富, 充裕"
chunk,"n. 大块, 矮胖的人(或物)
[经] 定样"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
[计] 大小; 值"
multitude,"n. 多数, 群众"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
adequate,"a. 适当的, 足够的
[法] 胜任的, 适当的, 充分的"
ample,"a. 大量的, 充足的, 丰富的"
suffice,"vi. 足够, 有能力
vt. 满足"
access,"v. 进入；〈正式〉到达；【IT】获得或储存(电脑文件)
n. 通道；入口；机会；权力
[网络] 访问权；连接开始；数据库之类的"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
excess,"n. 过度, 剩于, 超过, 超额
a. 过量的, 额外的"
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋
a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的
[计] 附件"
hinge,"n. 铰链, 关键, 枢纽
vt. 装铰链
vi. 靠铰链移动, 依...而转移"
shaft,"n. 轴, 箭杆, 矛, 矿井
vt. 装杆于, 利用"
valve,"n. 活瓣, 阀, 活门
v. 装阀, 用阀调节"
adapt,"vt. 使适应, 改编
vi. 适应"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东
n. (Orient)人名；(西)奥连特；(法)奥里安"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
obsess,"vt. 迷住, 使困扰"
glamor,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
glamour,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
adverse,"a. 不利的, 敌对的, 相反的, 逆的
[法] 相反的, 敌对的, 逆的"
adjacent,"a. 毗连的, 邻近的, 连接的
[机] 相邻的, 邻位的, 交界的"
advent,"n. 来到, 来临"
adhere,"vi. 依附, 粘着, 坚持, 追随, 拥护
vt. 使粘附"
affirm,"v. 断言, 确认"
certify,"v. 证明, 保证"
confirm,"vt. 证实, 确定, 批准, 使巩固
[计] 确认"
testify,"v. 证明, 作证, 声明, 表明"
verify,"vt. 证明, 查证, 证实, 检验, 校验
[计] 校验, 检验; DOS内部命令:设定写入磁盘时是否验证写入的正确性"
aggravate,"vt. 使恶化, 使更严重, 加重"
deteriorate,v. (使)恶化
worsen,"vt. 使更坏, 使恶化
vi. 变得更坏, 恶化"
aggressive,"a. 侵略的, 挑畔的, 进取的
[法] 侵略的, 爱挑衅的, 行为过火的"
competitive,"a. 竞争的
[经] 竞争的"
offensive,"a. 令人不快的, 侮辱的, 攻击性的
[法] 攻击的, 进攻的, 冒犯的"
provocative,"a. 激发感情的, 挑拨的, 刺激的
n. 刺激物, 挑拨物, 兴奋剂"
ail,"vt. 使苦恼
vi. 生病, 处境困难
[计] 数组互联逻辑"
bout,"n. 一次；一阵；一场；（疾病的）发作
[网络] 回合；一回；较量"
chronic,"a. 慢性的, 习惯性的
n. 慢性病患者"
aisle,"n. 走廊, 侧廊, 过道
[机] 走道"
